zip,zip_code,mhi_avg,pmh_avg,hei_avg,pci_avg,mhi_avg1,sph_avg,is_avg,hsd_avg,bd_avg
90620,90620,24.66153846,12.50769231,46.55384615,30765.53846,88141.46154,17.97692308,35.89230769,83.67692308,28.36923077
90621,90621,20.37777778,12.46666667,53.85555556,24154.44444,69770.11111,18.14444444,36.63333333,72.64444444,24.61111111
90622,90622,6.8,12.2,37.5,29668,115560,13.7,35.7,80.2,28.8
90623,90623,19.15714286,8.771428571,19.25714286,33482.14286,89751,11.32857143,29.57142857,79.15714286,36.12857143
90630,90630,21.24,9.965,22.515,36614.6,97126.65,14.14,30.545,81.925,39.325
90631,90631,21.815,10.24,37.46,24567.75,65048.75,13.46,29.02,63.765,21.41
90632,90632,17.2,13,59,33269,91515,14.1,35.2,80.7,28.4
90633,90633,25.1,14.5,77.8,24068,77917,19.2,36.7,76,16.4
90680,90680,27.46666667,13.4,64.775,29174.16667,76882.41667,21.81666667,36.95833333,79.09166667,24.575
90720,90720,21.88888889,10.66666667,19.27777778,47251.77778,108733.3333,15.38888889,32.01111111,83.08888889,50.33333333
90721,90721,30.5,10.7,21.6,46694,80761,21,31.7,89.9,45.2
90740,90740,15.13,9.83,17.64,55212.7,99617.4,15.98,29.59,66.36,49
90742,90742,14,10.4,12.75,72833.5,103920.5,21.75,30.85,48,55.05
90743,90743,10.4,10.9,14.1,76803,100303,33.6,31.1,0,56.7
92602,92602,5.25,9.525,10.5,14816.5,31939.75,3.225,33.2,24.225,19.25
92603,92603,8.52,9.4,5,47814.8,96143.4,10.66,30.74,78.04,60.4
92604,92604,24.43333333,10.18888889,15.63333333,47061.11111,112583.5556,13.98888889,32.45555556,84.17777778,63.98888889
92605,92605,6.8,12.4,21.2,47092,105794,15.7,32.9,93.7,47.8
92606,92606,17.65,10.875,23.925,21860.25,56050,11.025,35.025,48.3,30.325
92607,92607,3.7,10.4,3.9,52134,122270,23.6,31.1,95.2,52.5
92610,92610,3.75,10.425,5.075,42735.5,107167.25,5.5,33,48.2,46.075
92612,92612,26.41428571,13.32857143,30.77142857,34531.85714,57551,14.22857143,34.15714286,55.65714286,58.61428571
92614,92614,19.05714286,10.72857143,18.67142857,39618.71429,92920.85714,13.68571429,33.72857143,82.41428571,58.38571429
92615,92615,10.9,11.3,7.9,47092,132865,0,31.8,95.4,53.6
92616,92616,22.1,20.4,71.3,18359,22639,0,39.6,0,65.2
92617,92617,10.8,18,33.5,21622,42756,6.3,36.8,0,84.7
92618,92618,16.05384615,10.36153846,18.46923077,27501.07692,57942.07692,5.130769231,32.77692308,36.31538462,33.03846154
92619,92619,2.1,12.7,21.1,53414,90709,6.4,34.4,0,69.9
92620,92620,10.81428571,9.771428571,10.92857143,16666.14286,35796,3.628571429,32.91428571,26.67142857,18.87142857
92623,92623,24.6,12.4,41.2,0,0,0,36.4,0,0
92624,92624,23.03333333,10.9,10.86666667,55322.33333,102975,5.566666667,30.7,92.73333333,45.36666667
92625,92625,12.4,9.266666667,1.783333333,101361,146201.5,7.25,29.31666667,0,60.66666667
92626,92626,15.82666667,12.81333333,31.91333333,42626.26667,87101.33333,14.59333333,33.92666667,81.24666667,38.78666667
92627,92627,14.82631579,13.08421053,35.94736842,52032.10526,97208.94737,20.81578947,33.79473684,66.29473684,44.39473684
92628,92628,26.6,11.7,10.6,62590,128708,0,32.2,96,40.2
92629,92629,19.9,10.56,12.65,71551.2,115641.5,10.2,30.62,77.17,55.06
92630,92630,14.52142857,11.7,22.31428571,46057.14286,111243.5714,14.11428571,33.5,71.28571429,46.02857143
92637,92637,38.13333333,8.911111111,29.68888889,41748.22222,60364.22222,7.566666667,28.3,83.21111111,45.3
92646,92646,16.675,11.225,15.86875,49687.625,108876.375,9.51875,32.11875,94.0875,45.44375
92647,92647,25.3375,12.45,34.2875,39800.625,91413.125,18.36875,34.43125,89.23125,36.825
92648,92648,19.60666667,11.9,20.56666667,52689.73333,97377.93333,18.08666667,32.88666667,87.06,42.18
92649,92649,17.23571429,11.45,16.77142857,54226.28571,106429,13.22142857,32.20714286,81.17857143,45.82857143
92651,92651,35.8625,9.5375,9.775,79297.75,110417.375,13.5375,29.425,84.5875,53.35
92652,92652,30.25,10.15,6.1,91858,140304.5,21.55,29.6,96.4,62.65
92653,92653,26.30909091,9.863636364,21.89090909,50190.36364,90833.81818,7.636363636,30.06363636,76.52727273,47.85454545
92654,92654,92.7,9.9,58.4,39347,59846,47.6,28.9,89.1,33.5
92655,92655,63.45,12.5,71.725,29506,63688.5,28.2,37.825,74.7,26.75
92656,92656,10.70909091,11.1,11.14545455,55495.45455,123884.8182,12.47272727,32.76363636,86.99090909,57.24545455
92657,92657,13.95,9.1,1.8,125461,183030,11.35,30.4,0,74.5
92658,92658,24.8,9.7,5.7,93521,137819,19.1,28.8,98.4,79.7
92659,92659,10.1,10,3.7,80974,138375,6.2,29.6,97.8,60.8
92660,92660,18.93076923,10.53846154,8.2,79545.46154,114903,10.90769231,30.43846154,44.63076923,59.40769231
92661,92661,35.1,10.9,8.4,108319,173229,44.8,29.9,0,58.3
92662,92662,20.6,8.5,1.3,104040,127443,0,26.6,0,70.5
92663,92663,17.92222222,10.98888889,15.6,80968.77778,122951.3333,15.48888889,30.82222222,50.91111111,57.5
92672,92672,18.17272727,10.45454545,16.13636364,40608,68273.36364,9.427272727,28.76363636,67.71818182,32.22727273
92673,92673,15.56666667,10.91666667,6.966666667,49431.66667,104942,7.65,31.15,79.28333333,40.2
92674,92674,21.85,11.3,22.25,65722.5,104690,9.2,31.45,92.9,51.6
92675,92675,15.6,11.4,18.51666667,41030.66667,81379.41667,5.641666667,31.95833333,59.26666667,34.49166667
92676,92676,2.383333333,11.15,8.833333333,44974.16667,109162.1667,5.3,33.08333333,47.5,41.55
92677,92677,10.38125,10.95625,11.23125,65921.75,123829.5625,11.675,31.73125,89.36875,55.66875
92678,92678,0.9,11.6,10.8,52955,114318,0,32,0,45.7
92679,92679,4.44,11.03,6.13,62576.6,151919.6,6.74,32.43,57.58,50.76
92683,92683,39.05909091,12.55909091,61.62272727,29508.18182,72348.63636,19.42272727,37.20454545,78.37727273,26.4
92684,92684,31.4,13.35,73.15,22911,65715,19.05,38.25,72.3,22.95
92685,92685,45.1,13.7,76.1,24117,52864,16.6,38,81.1,31.5
92688,92688,9.8,11.26,10.12,46785.4,112982.4,13.24,33.01,76.16,45.53
92690,92690,30.3,13.8,38.6,29990,86450,16.9,34.2,81.5,29.6
92691,92691,15.31333333,11.28666667,14.66666667,53059.66667,127720,8.926666667,32.33333333,87.5,49.41333333
92692,92692,11.45789474,10.9,10.61578947,52512.05263,124949.8947,9.378947368,31.82105263,84.71052632,51.32105263
92693,92693,11.8,14.4,70.3,27810,83478,8.9,36.4,68.6,25.6
92694,92694,9.183333333,10.26666667,2.75,45423.33333,108336.5,12.36666667,31.9,64.83333333,44.01666667
92697,92697,10.8,18,33.5,21622,42756,6.3,36.8,0,84.7
92698,92698,10.2,12.2,13.5,41032,106006,19.2,33.9,87.4,45
92701,92701,13.31333333,16.39333333,84.26,19614.8,59986,21.45333333,38.11333333,56.46666667,13.28
92702,92702,31.5,18,95.3,16495,38190,37.4,39.6,51,11.7
